industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Real Estate,366514.0,2345689.6,2020-10-23,Product_1,100 - 500 Million,Category 4,USA,"Grants Pass, OR",William Jackson,CEO,Air traffic controller,Marketing Event,Level 1,more than a month,"Irizarry,Yolanda",Yes,1,64.2
Financial Services,36569.0,232213.15,2020-10-23,Product_1,50 - 100 Million,Category 1,India,Pali,geeta kumari,CEO,Publishing rights manager,Website,Level 3,More than a week back,"Kiepea,Prince A",No,2,61.900000000000006
Utilities,198477.0,1230557.4,2020-10-23,Product_1,50 - 100 Million,Category 4,India,Alipurduar,smt manju,CEO,"Horticulturist, amenity",Website,Level 2,No track,"Sutton,Michelle R",No,2,58.7
Real Estate,194073.0,1164438.0,2020-10-23,Product_1,100 - 500 Million,Category 3,USA,"Wichita, KS",William Jones,CEO,Brewing technologist,Others,Level 2,No track,"Gould,Lisa D",Yes,3,67.6
REIT,428612.0,2614533.2,2020-10-23,Product_1,500 Million - 1 Billion,Category 3,India,Bhusaval,manju nayak,CEO,Chief of Staff,Marketing Event,Level 1,,"Kiepea,Prince A",No,4,62.3
Service Providers,407444.0,2790991.4,2020-10-24,Product_2,500 Million - 1 Billion,Category 4,USA,"Pine Bluff, AR",Carol Turner,CEO,Geophysical data processor,Contact Email,Level 3,More than a week back,"Knox,Antonio D",Yes,1,66.7
Fabricated Products,152592.0,923181.6,2020-10-24,Product_1,50 - 100 Million,Category 1,India,Bhilai,saniya,SVP/General Counsel,Chartered loss adjuster,Others,Level 2,Up-to-date,"Ross,Eric L",Yes,4,63.1
Banks,457741.0,2837994.2,2020-10-24,Product_2,50 - 100 Million,Category 4,USA,"Milwaukee-Waukesha-West Allis, WI",Christopher Vazquez,CEO,Holiday representative,Website,Level 1,More than a week back,"Jones,Michael L",Yes,2,26.35
Financial Services,492920.0,2908228.0,2020-10-24,Product_2,50 - 100 Million,Category 2,USA,"Goldsboro, NC",Loretta West,CEO,Commercial art gallery manager,Others,Level 3,more than a month,"Dimattia,Frank D",Yes,1,68.1
Warehousing/Logistics,204414.0,1175380.5,2020-10-24,Product_1,50 - 100 Million,Category 2,India,Belgaum,kriti,SVP/General Counsel,Agricultural engineer,Contact Email,Level 1,No track,"Ryker,David",No,5,60.7
Medical Equipment,210438.0,,2020-10-24,Product_1,50 - 100 Million,Category 2,India,Dindigul,pushpa devi,SVP/General Counsel,"Engineer, petroleum",Others,Level 1,More than 2 weeks,"Murray,Younetta",No,3,26.35
Healthcare Facilities/Services,301183.0,1927571.2,2020-10-24,Product_1,50 - 100 Million,Category 3,,"Lawton, OK",Patrick Riggs,CEO,Control and instrumentation engineer,Marketing Event,Level 3,Up-to-date,"Davis,Sharrice A",Yes,2,68.6
Trucking,423508.0,2541048.0,2020-10-25,Product_1,100 - 500 Million,Category 3,India,Ujjain,paramjeet kour,CEO,Broadcast journalist,Contact Email,Level 2,More than a week back,"Jones,Michael L",Yes,4,59.3
Property/Casualty,3828.0,22968.0,2020-10-25,Product_1,500 Million - 1 Billion,Category 2,,"Chattanooga, TN-GA",Lori Merritt,CEO,Building surveyor,Marketing Event,Level 1,more than a month,"Smith,Keenan H",Yes,3,-5.0
Lending/Mortgage,354422.0,2392348.5,2020-10-25,Product_1,100 - 500 Million,Category 1,,"Montgomery, AL",Tammy Butler,CEO,Architect,Website,Level 2,more than a month,"Murray,Younetta",No,3,72.9
Networking/Comm.,73310.0,428863.5,2020-10-25,Product_2,100 - 500 Million,Category 3,India,Aizawl  ,rohila,SVP/General Counsel,Mudlogger,Others,Level 3,No track,"Davis,Sharrice A",Yes,2,58.1
Banks,233234.0,1574329.5,2020-10-25,Product_2,100 - 500 Million,Category 4,,"Vallejo-Fairfield, CA",Katie Ruiz,CEO,Film/video editor,Website,Level 2,more than a month,"Dimattia,Frank D",No,3,69.4
Photography,313554.0,1975390.2,2020-10-25,Product_2,500 Million - 1 Billion,Category 4,India,Dindigul,neetu kumari,CEO,"Horticulturist, amenity",Contact Email,Level 1,No track,"Vickers Jr.,Henry J",Yes,3,58.5
Financial Services,50900.0,305400.0,2020-10-25,Product_1,500 Million - 1 Billion,Category 4,USA,"Texarkana, TX-AR",Stephen Gregory,CEO,Product manager,Others,Level 1,2 days back,"Dunaway,Antoine",Yes,2,61.6
Venture Capital,308530.0,2252269.0,2020-10-25,Product_2,100 - 500 Million,Category 1,USA,"Fort Smith, AR-OK",Mary Johnson,CEO,"Education officer, community",Website,Level 3,More than a week back,"Massiah,Gerard F",Yes,5,77.7
Legal,91321.0,639247.0,2020-10-25,Product_1,500 Million - 1 Billion,Category 4,India,Ludhiana,jyoti shahu,CEO,Public relations officer,Website,Level 3,No track,"Young,Valerie K",No,4,66.5
REIT,187773.0,,2020-10-25,Product_1,50 - 100 Million,Category 4,USA,"Binghamton, NY",Mrs. Jennifer Morgan,CEO,Data processing manager,Website,Level 3,Up-to-date,"Tondeur,Keith D",No,2,68.4
Banks,439675.0,2506147.5,2020-10-25,Product_2,100 - 500 Million,Category 2,,"Ocala, FL",Joseph Johnson,CEO,Tree surgeon,Others,Level 2,Up-to-date,"Vickers Jr.,Henry J",Yes,1,65.9
Non-Profit,7750.0,53087.5,2020-10-25,Product_2,500 Million - 1 Billion,Category 1,USA,"Gadsden, AL",Anthony Gomez,CEO,"Designer, furniture",Marketing Event,Level 3,?,"Houston,Arnold E",Yes,2,70.5
Banks,125209.0,832639.85,2020-10-25,Product_2,500 Million - 1 Billion,Category 4,India,Mysore,doli,CEO,Retail merchandiser,Contact Email,Level 3,No track,"Morsy,Omar A",No,1,59.7
Banks,23764.0,137831.2,2020-10-25,Product_1,100 - 500 Million,Category 1,India,Jorapokhar,aarti bunkar,SVP/General Counsel,"Nurse, learning disability",Others,Level 1,No track,"Van Arter,Derrick",Yes,4,58.900000000000006
Banks,394560.0,2584368.0,2020-10-25,Product_1,100 - 500 Million,Category 4,USA,"Homosassa Springs, FL",Ian Montoya,SVP/General Counsel,Quarry manager,Website,Level 2,No track,"Murray,Younetta",Yes,2,107.34
Banks,141554.0,849324.0,2020-10-25,Product_2,500 Million - 1 Billion,Category 2,USA,"Cedar Rapids, IA",Dalton James,SVP/General Counsel,Statistician,Contact Email,Level 1,2 days back,"Cashin,Marc C",No,3,67.5
Other Biz Services,149093.0,872194.05,2020-10-26,Product_1,100 - 500 Million,Category 2,India,Tezpur,sunita,CEO,Garment/textile technologist,Others,Level 3,Up-to-date,"Young,Valerie K",Yes,1,61.6
Insurance,394608.0,,2020-10-26,Product_2,100 - 500 Million,Category 1,India,Gangtok,girishchandra,CEO,"Designer, graphic",Contact Email,Level 3,Up-to-date,"Dunaway,Antoine",No,1,61.8
Financial Services,314092.0,1743210.6,2020-10-26,Product_1,50 - 100 Million,Category 2,India,Kolar,sunita,SVP/General Counsel,Broadcast engineer,Others,Level 2,More than 2 weeks,"Knox,Antonio D",Yes,3,26.35
Food Processing,40300.0,265980.0,2020-10-26,Product_2,100 - 500 Million,Category 4,,Kolkata ,deepika tomar,CEO,Database administrator,Marketing Event,Level 2,No track,"Clavey,Therese A",Yes,5,61.2
Electric Utilities,133775.0,,2020-10-26,Product_1,500 Million - 1 Billion,Category 4,USA,"Montgomery, AL",Michael Mendoza,SVP/General Counsel,"Investment banker, operational",Others,Level 3,5 days back,"Davis,Brian R",No,1,26.35
Construction Services,32062.0,185959.6,2020-10-26,Product_2,50 - 100 Million,Category 1,,Rajahmundry,kanta kumari,SVP/General Counsel,Architect,Website,Level 1,,"Moran,Natalie A",No,1,57.5
Banks,222172.0,1488552.4,2020-10-26,Product_2,500 Million - 1 Billion,Category 4,India,Bulandshahr,shikha kumari,SVP/General Counsel,"Accountant, chartered certified",Contact Email,Level 2,2 days back,"Clavey,Therese A",Yes,5,62.3
Banks,374389.0,2470967.4,2020-10-26,Product_2,100 - 500 Million,Category 1,,Thiruvananthapuram,aarti devi,CEO,Operations geologist,Marketing Event,Level 1,more than a month,"Davis,Sharrice A",No,5,66.0
Electronics,203163.0,1229136.15,2020-10-27,Product_2,50 - 100 Million,Category 1,USA,"Weirton-Steubenville, WV-OH",Samantha Torres,SVP/General Counsel,"Psychologist, forensic",Others,Level 1,?,"Hanyok,John J",No,4,68.4
REIT,207335.0,,2020-10-27,Product_1,100 - 500 Million,Category 3,India,Ahmadnagar,rani,CEO,Warden/ranger,Website,Level 2,More than a week back,"Irizarry,Yolanda",Yes,4,62.900000000000006
Banks,384780.0,2558787.0,2020-10-27,Product_1,500 Million - 1 Billion,Category 3,,Ahmadnagar,sahiba,SVP/General Counsel,"Designer, fashion/clothing",Marketing Event,Level 3,No track,"Robinson,John C",No,4,66.7
Furniture/Fixtures,,2432947.95,2020-10-27,Product_2,500 Million - 1 Billion,Category 4,USA,"Bellingham, WA",Scott Johnson,SVP/General Counsel,Community pharmacist,Contact Email,Level 3,No track,"Hanyok,John J",Yes,4,69.9
Online Banking,49587.0,307439.4,2020-10-28,Product_1,100 - 500 Million,Category 4,USA,"Ogden-Clearfield, UT",Pamela Vega MD,CEO,Video editor,Others,Level 2,2 days back,"Gould,Lisa D",Yes,3,64.1
Banks,44818.0,250980.8,2020-10-28,Product_1,500 Million - 1 Billion,Category 2,India,Shillong ,durga devi,CEO,"Psychologist, forensic",Contact Email,Level 2,No track,"Shelton,Sidney P",No,1,56.0
Financial Services,303205.0,2016313.25,2020-10-28,Product_2,50 - 100 Million,Category 1,USA,"Staunton-Waynesboro, VA",Danielle Peck,CEO,Copy,Contact Email,Level 2,More than a week back,"Charles,Caleb",No,5,70.9
Education/Training,146128.0,1052121.6,2020-10-28,Product_2,500 Million - 1 Billion,Category 4,India,Bikaner,hamsiran,CEO,Fitness centre manager,Website,Level 3,5 days back,"Rocks,Michael J",No,5,68.6
Sales/Marketing Services,369567.0,2069575.2,2020-10-29,Product_2,50 - 100 Million,Category 3,India,Alappuzha,pooja,CEO,Interior and spatial designer,Website,Level 1,more than a month,"Ali,Mohamed",No,2,57.5
Department/Discount,196314.0,1109174.1,2020-10-29,Product_1,50 - 100 Million,Category 3,India,Jamshedpur,kavita,CEO,"Scientist, research (life sciences)",Contact Email,Level 2,,"Dunaway,Antoine",No,1,55.6
Banks,497575.0,3035207.5,2020-10-29,Product_1,500 Million - 1 Billion,Category 3,India,Itanagar,anju kumari,CEO,"Surveyor, hydrographic",Marketing Event,Level 2,No track,"Van Arter,Derrick",Yes,2,-5.0
Sales/Marketing Services,435677.0,2853684.35,2020-10-29,Product_1,100 - 500 Million,Category 4,USA,"Decatur, IL",Robin Peck,CEO,Plant breeder/geneticist,Others,Level 3,No track,"Green,Candy",Yes,2,66.6
"Oil, Gas, Coal",278237.0,1808540.5,2020-10-29,Product_1,500 Million - 1 Billion,Category 1,USA,"Sioux Falls, SD",David Adams,CEO,Senior tax professional/tax inspector,Marketing Event,Level 1,No track,"Shelton,Sidney P",Yes,2,69.1
Rentals/Leasing,241657.0,1474107.7,2020-10-29,Product_1,500 Million - 1 Billion,Category 3,USA,"Casper, WY",Rebecca Scott,CEO,Television camera operator,Marketing Event,Level 1,No track,"Houston,Arnold E",No,2,66.1
Investment Bank/Brokerage,145707.0,903383.4,2020-10-29,Product_1,100 - 500 Million,Category 1,India,Aurangabad,smt. pushpa,CEO,"Scientist, marine",Contact Email,Level 2,2 days back,"Clavey,Therese A",No,2,59.1
Insurance,408405.0,2327908.5,2020-10-29,Product_2,50 - 100 Million,Category 2,India,Rajapalaiyam,shiwani sharma,CEO,"Engineer, technical sales",Website,Level 2,No track,"Dunaway,Antoine",No,1,60.7
Online Banking,361285.0,2203838.5,2020-10-29,Product_1,100 - 500 Million,Category 2,India,Porbandar,durga kumari,CEO,Cytogeneticist,Marketing Event,Level 2,Up-to-date,"Clavey,Therese A",Yes,3,64.1
"Oil, Gas, Coal",320814.0,1876761.9,2020-10-29,Product_2,50 - 100 Million,Category 3,USA,"Albany, OR",Danny Phillips,CEO,Ceramics designer,Others,Level 2,No track,"Carter Sr,Clifton E",Yes,3,67.1
Restaurants,53066.0,323702.6,2020-10-29,Product_1,100 - 500 Million,Category 4,India,Kalyan,sapna,CEO,Wellsite geologist,Contact Email,Level 2,No track,"Dyson,William A",Yes,2,53.6
Wood/Paper,455373.0,2663932.05,2020-10-29,Product_2,50 - 100 Million,Category 4,USA,"Durham-Chapel Hill, NC",Andre Little,SVP/General Counsel,Computer games developer,Others,Level 1,Up-to-date,"Carter Sr,Clifton E",Yes,2,61.7
Insurance,265042.0,1510739.4,2020-10-30,Product_1,500 Million - 1 Billion,Category 3,India,Fyzabad,babita,CEO,Legal executive,Others,Level 2,Up-to-date,"Davis,Brian R",Yes,2,58.8
Food Processing,95588.0,630880.8,2020-10-30,Product_1,50 - 100 Million,Category 1,India,Puri,saroj devi,CEO,Podiatrist,Others,Level 3,5 days back,"Dimattia,Frank D",Yes,5,67.9
Hotels/Motels,244934.0,1616564.4,2020-10-30,Product_1,100 - 500 Million,Category 2,USA,"Williamsport, PA",Chris Casey,SVP/General Counsel,Amenity horticulturist,Website,Level 3,5 days back,"Maine,John P",No,3,74.1
Training,389417.0,2355972.85,2020-10-30,Product_1,500 Million - 1 Billion,Category 3,India,Vadodara,deepa,CEO,"Engineer, biomedical",Website,Level 1,2 days back,"Maine,John P",Yes,3,107.34
Real Estate,15189.0,94931.25,2020-10-31,Product_2,500 Million - 1 Billion,Category 3,USA,"Stockton-Lodi, CA",Kenneth Silva,CEO,"Scientist, physiological",Others,Level 3,Up-to-date,"Ali,Mohamed",No,4,26.35
Technology Consulting,107498.0,720236.6,2020-10-31,Product_1,500 Million - 1 Billion,Category 1,,"Youngstown-Warren-Boardman, OH-PA",Suzanne Perry,CEO,"Therapist, music",Marketing Event,Level 1,2 days back,"Meli,Teresa V",No,3,72.3
Security Services,31666.0,189996.0,2020-10-31,Product_2,500 Million - 1 Billion,Category 2,India,Dindigul,bhagwati,CEO,Multimedia specialist,Contact Email,Level 2,5 days back,"Green,Candy",No,5,61.3
Construction Services,415624.0,2452181.6,2020-10-31,Product_1,50 - 100 Million,Category 2,India,Gangtok,genda devi,CEO,Secondary school teacher,Website,Level 2,More than 2 weeks,"Kiepea,Prince A",Yes,4,63.900000000000006
Beverages (Alcoholic),485844.0,,2020-10-31,Product_2,500 Million - 1 Billion,Category 1,India,Panchkula,rajinder kaur,CEO,"Production assistant, radio",Marketing Event,Level 1,?,"Hanyok,John J",Yes,4,65.3
Online Banking,21992.0,117657.2,2020-10-31,Product_2,50 - 100 Million,Category 2,India,Agartala,miss leela  purohit,SVP/General Counsel,"Surveyor, building control",Others,Level 2,?,"Gaskins Jr,Franklin D",Yes,4,-5.0
Materials/Manufacturing,256115.0,1651941.75,2020-10-31,Product_1,100 - 500 Million,Category 2,USA,"Kingsport-Bristol-Bristol, TN-VA",Audrey Moore,SVP/General Counsel,"Engineer, maintenance",Marketing Event,Level 3,No track,"Featherstone,Adrian R",No,1,70.6
BioTech/Drugs,448953.0,2648822.7,2020-10-31,Product_2,100 - 500 Million,Category 2,India,Proddatur,ruchika,CEO,Insurance claims handler,Marketing Event,Level 1,No track,"Featherstone,Adrian R",Yes,4,62.400000000000006
Banks,412730.0,2703381.5,2020-10-31,Product_2,100 - 500 Million,Category 3,USA,"Las Vegas-Henderson-Paradise, NV",Carl Robinson,SVP/General Counsel,Camera operator,Marketing Event,Level 3,No track,"Morsy,Omar A",Yes,1,26.35
Insurance,397615.0,2306167.0,2020-11-01,Product_1,50 - 100 Million,Category 3,USA,"Pittsburgh, PA",Joshua Burns,SVP/General Counsel,"Production assistant, radio",Website,Level 1,No track,"Green,Candy",No,2,64.5
Banks,274411.0,1728789.3,2020-11-01,Product_2,500 Million - 1 Billion,Category 4,USA,"Bakersfield, CA",Brandon Cole,CEO,Conference centre manager,Contact Email,Level 1,No track,"Green,Candy",No,2,62.3
Lending/Mortgage,308293.0,1849758.0,2020-11-01,Product_2,100 - 500 Million,Category 3,India,Mahabubnagar,shashi,CEO,Civil Service fast streamer,Marketing Event,Level 1,No track,"Ryker,David",Yes,3,26.35
Staffing,484629.0,3198551.4,2020-11-01,Product_2,500 Million - 1 Billion,Category 3,India,Sirsa,meenu,SVP/General Counsel,Dietitian,Website,Level 3,More than a week back,"Cashin,Marc C",No,4,67.0
Financial Services,305032.0,1845443.6,2020-11-01,Product_1,50 - 100 Million,Category 4,India,Ajmer,jiya,SVP/General Counsel,Clinical embryologist,Contact Email,Level 2,2 days back,"Heidelberg,Andre D",Yes,1,55.1
Service Providers,96452.0,588357.2,2020-11-01,Product_2,50 - 100 Million,Category 2,India,Barddhaman,sunder devi,CEO,Clinical psychologist,Contact Email,Level 3,No track,"Dunaway,Antoine",No,3,63.0
Banks,339515.0,2291726.25,2020-11-02,Product_2,50 - 100 Million,Category 3,USA,"Birmingham-Hoover, AL",Miranda Gonzales,CEO,Ophthalmologist,Website,Level 3,,"Hanyok,John J",Yes,5,107.34
Photography,366369.0,2069984.85,2020-11-02,Product_2,50 - 100 Million,Category 3,India,Sonipat,यशोदा,CEO,"Biochemist, clinical",Contact Email,Level 2,2 days back,"Robinson,John C",No,2,55.6
Insurance,146852.0,895797.2,2020-11-02,Product_1,500 Million - 1 Billion,Category 3,USA,"Springfield, MA",Pedro Calderon,SVP/General Counsel,Animator,Others,Level 2,5 days back,"Cashin,Marc C",No,3,69.0
Utilities,397890.0,2248078.5,2020-11-02,Product_1,50 - 100 Million,Category 3,India,Gulbarga,meenu chawla,SVP/General Counsel,Pensions consultant,Contact Email,Level 1,More than a week back,"Booker,David L",Yes,3,57.1
Banks,299359.0,1915897.6,2020-11-02,Product_2,100 - 500 Million,Category 1,,"Waco, TX",Timothy Maddox,CEO,Media buyer,Others,Level 2,No track,"Ullrich,Rose Anne",No,4,70.6
Insurance,52197.0,336670.65,2020-11-02,Product_2,100 - 500 Million,Category 4,,"Rochester, MN",Edward Warren,CEO,"Programme researcher, broadcasting/film/video",Others,Level 3,Up-to-date,"Green,Candy",No,2,107.34
Professional Services,293336.0,1686682.0,2020-11-03,Product_1,100 - 500 Million,Category 3,India,Rajapalaiyam,pooja,SVP/General Counsel,Herbalist,Website,Level 1,No track,"Davis,Brian R",Yes,1,58.0
Finance Software,461018.0,3088820.6,2020-11-03,Product_1,500 Million - 1 Billion,Category 4,USA,"Columbus, OH",Austin Snyder,CEO,Legal executive,Marketing Event,Level 2,More than 2 weeks,"Vickers Jr.,Henry J",No,1,67.3
Apparel Retail,212510.0,1391940.5,2020-11-03,Product_1,100 - 500 Million,Category 3,USA,"Gettysburg, PA",Mary Walton,CEO,Lobbyist,Website,Level 2,More than a week back,"Carter Sr,Clifton E",Yes,5,72.0
Financial Services,388710.0,2215647.0,2020-11-03,Product_1,100 - 500 Million,Category 2,India,Dindigul,kajal @ soni,CEO,"Producer, radio",Contact Email,Level 2,,"Turner,Marlon D",Yes,2,57.6
Marketing/Advertising,424439.0,2652743.75,2020-11-03,Product_1,50 - 100 Million,Category 4,USA,"Ames, IA",Jason Strickland,CEO,Paramedic,Contact Email,Level 1,more than a month,"McKenstry,Loretta A",Yes,4,63.6
Banks,196993.0,1260755.2,2020-11-03,Product_2,50 - 100 Million,Category 4,USA,"Wichita, KS",Heather Simon,CEO,Recycling officer,Website,Level 2,More than 2 weeks,"Cash,Tyrone J",No,2,65.7
Furniture/Fixtures,355879.0,2206449.8,2020-11-03,Product_2,100 - 500 Million,Category 4,India,Gopalpur,anjum,CEO,Pharmacologist,Others,Level 2,more than a month,"Featherstone,Adrian R",No,3,60.1
Other,351660.0,2180292.0,2020-11-03,Product_2,50 - 100 Million,Category 3,USA,"Evansville, IN-KY",Jason Hancock,SVP/General Counsel,Cabin crew,Contact Email,Level 3,?,"Brown,Maxine A",No,2,65.3
Hospitals/Clinics,181922.0,1118820.3,2020-11-03,Product_2,50 - 100 Million,Category 2,USA,"Idaho Falls, ID",Ashlee Cox,CEO,Restaurant manager,Marketing Event,Level 2,More than 2 weeks,"Turner,Marlon D",No,4,70.6
Other Biz Services,328465.0,2102176.0,2020-11-03,Product_1,50 - 100 Million,Category 1,,"Lancaster, PA",Stephen Harris,SVP/General Counsel,Diagnostic radiographer,Website,Level 1,?,"Tondeur,Keith D",No,4,70.7
Alternative,443819.0,2729486.85,2020-11-04,Product_1,100 - 500 Million,Category 3,,Bijapur,aafrin,SVP/General Counsel,"Engineer, automotive",Others,Level 3,Up-to-date,"Dunaway,Antoine",No,3,63.3
Enterprise,290021.0,1885136.5,2020-11-04,Product_2,500 Million - 1 Billion,Category 4,USA,"Hagerstown-Martinsburg, MD-WV",Joshua Walker,SVP/General Counsel,Colour technologist,Marketing Event,Level 1,,"Abdul-Hamid,Saud Muhamad",No,1,65.6
Financial Services,399817.0,2538837.95,2020-11-04,Product_2,50 - 100 Million,Category 3,India,Hindupur,renu,CEO,Archivist,Website,Level 3,No track,"Massiah,Gerard F",Yes,4,65.1
Hospitals/Clinics,218740.0,1476495.0,2020-11-04,Product_2,100 - 500 Million,Category 3,USA,"Ann Arbor, MI",Teresa Evans,SVP/General Counsel,Orthoptist,Marketing Event,Level 3,No track,"Salyers,Daniel L",No,4,72.3
Furniture/Fixtures,17632.0,108436.8,2020-11-04,Product_2,100 - 500 Million,Category 3,India,Aizawl  ,malti,CEO,Pathologist,Contact Email,Level 3,No track,"Morsy,Omar A",No,3,59.0
Hospitals/Clinics,307496.0,1998724.0,2020-11-04,Product_1,500 Million - 1 Billion,Category 3,USA,"Albuquerque, NM",Charlene Rosario,SVP/General Counsel,Occupational therapist,Contact Email,Level 2,More than a week back,"Turner,Marlon D",Yes,5,69.8
Banks,287290.0,,2020-11-05,Product_1,500 Million - 1 Billion,Category 3,,Davangere,suchitra,CEO,Bonds trader,Website,Level 3,2 days back,"Turner,Marlon D",Yes,3,67.0
Banks,264836.0,1681708.6,2020-11-05,Product_2,100 - 500 Million,Category 4,India,Nagercoil,sandya,SVP/General Counsel,Further education lecturer,Website,Level 2,No track,"Salyers,Daniel L",Yes,1,26.35
Insurance,418817.0,2659487.95,2020-11-05,Product_2,500 Million - 1 Billion,Category 2,USA,"Provo-Orem, UT",Amanda Burton,CEO,Tree surgeon,Others,Level 3,No track,"Sutton,Michelle R",Yes,3,73.2
Banks,41143.0,250972.3,2020-11-05,Product_1,500 Million - 1 Billion,Category 1,USA,"Macon, GA",Sean Mendoza,SVP/General Counsel,Soil scientist,Contact Email,Level 1,more than a month,"Irizarry,Yolanda",Yes,1,62.8
Financial Services,442450.0,2942292.5,2020-11-05,Product_2,500 Million - 1 Billion,Category 1,India,Hubli,soni mishra,CEO,Speech and language therapist,Website,Level 2,More than a week back,"Turner,Marlon D",No,3,67.3
Banks,191252.0,1262263.2,2020-11-05,Product_2,100 - 500 Million,Category 2,India,Kochi,kiran devi,CEO,Personnel officer,Website,Level 3,More than a week back,"Dimattia,Frank D",Yes,5,69.2
Personal/Household Products,300322.0,2057205.7,2020-11-05,Product_1,500 Million - 1 Billion,Category 4,USA,"Bend-Redmond, OR",David Lawson,SVP/General Counsel,"Designer, graphic",Contact Email,Level 3,No track,"Charles,Caleb",No,2,26.35
Banks,374953.0,2043493.85,2020-11-06,Product_2,50 - 100 Million,Category 3,USA,"Grants Pass, OR",Jason Alvarado,CEO,Legal secretary,Others,Level 1,No track,"Dunaway,Antoine",No,2,62.2
Banks,105748.0,703224.2,2020-11-06,Product_2,500 Million - 1 Billion,Category 4,India,Ujjain,juli devi,CEO,Chief Financial Officer,Others,Level 3,,"Ali,Mohamed",No,4,64.2
Banks,274537.0,1688402.55,2020-11-06,Product_1,500 Million - 1 Billion,Category 2,India,Surat,nazreen,CEO,Health promotion specialist,Website,Level 2,No track,"Jones,Michael L",Yes,3,26.35
Service Providers,424880.0,2506792.0,2020-11-06,Product_1,100 - 500 Million,Category 2,USA,"Bismarck, ND",Matthew Scott,CEO,"Horticulturist, amenity",Others,Level 2,More than 2 weeks,"Maine,John P",No,4,69.1
Banks,52114.0,330923.9,2020-11-06,Product_1,100 - 500 Million,Category 2,India,Asansol,bina jatav,CEO,Musician,Marketing Event,Level 3,more than a month,"Irizarry,Yolanda",Yes,3,64.8
Other,313383.0,,2020-11-06,Product_2,50 - 100 Million,Category 2,,Nanded,minakshi,SVP/General Counsel,Barrister,Marketing Event,Level 2,No track,"Shelton,Sidney P",No,5,65.7
Medical Equipment,210300.0,1251285.0,2020-11-06,Product_1,100 - 500 Million,Category 3,India,Latur,sapna,CEO,Make,Others,Level 3,more than a month,"Logan,Kevin N",Yes,1,60.1
Outsourcing,475636.0,3067852.2,2020-11-06,Product_2,500 Million - 1 Billion,Category 3,USA,"Flagstaff, AZ",Alexis Ballard,CEO,Financial risk analyst,Others,Level 3,?,"Sutton,Michelle R",No,3,107.34
Financial Services,133976.0,777060.8,2020-11-06,Product_2,100 - 500 Million,Category 3,India,Nizamabad,pooja,SVP/General Counsel,Television floor manager,Others,Level 2,?,"Himes,Maurice C",No,4,60.6
Energy,382968.0,2297808.0,2020-11-06,Product_1,100 - 500 Million,Category 3,USA,"Sebastian-Vero Beach, FL",Amanda Fisher,SVP/General Counsel,Osteopath,Others,Level 2,2 days back,"Hanyok,John J",No,3,67.6
Financial Services,386510.0,2396362.0,2020-11-07,Product_2,100 - 500 Million,Category 4,India,Pali,kamla devi,SVP/General Counsel,Data scientist,Contact Email,Level 2,More than 2 weeks,"Hameier,Kurt E",Yes,2,55.6
Investment Bank/Brokerage,162071.0,1004840.2,2020-11-07,Product_1,100 - 500 Million,Category 4,,"Naples-Immokalee-Marco Island, FL",Amanda Gay,SVP/General Counsel,Community education officer,Others,Level 2,More than 2 weeks,"Hameier,Kurt E",No,2,26.35
Constr - Supplies,388252.0,2581875.8,2020-11-07,Product_1,100 - 500 Million,Category 2,USA,"Appleton, WI",Michael Watson,CEO,Intelligence analyst,Marketing Event,Level 3,more than a month,"Jones,Michael L",Yes,4,73.8
Medical Equipment,79401.0,531986.7,2020-11-07,Product_2,500 Million - 1 Billion,Category 4,India,Calicut,smt shalu,SVP/General Counsel,Holiday representative,Marketing Event,Level 1,Up-to-date,"Maine,John P",No,5,63.900000000000006
Insurance,444160.0,2664960.0,2020-11-07,Product_2,500 Million - 1 Billion,Category 2,India,Nellore,puja urf rekha,CEO,Field seismologist,Marketing Event,Level 1,more than a month,"Young,Valerie K",No,4,26.35
Airlines/Air Couriers,112288.0,668113.6,2020-11-07,Product_2,100 - 500 Million,Category 3,,"Santa Fe, NM",April Thompson,CEO,"Social research officer, government",Website,Level 1,5 days back,"Brown,Maxine A",No,1,65.0
Banks,64644.0,407257.2,2020-11-07,Product_2,50 - 100 Million,Category 1,India,Ratlam,reshma,CEO,Intelligence analyst,Contact Email,Level 3,No track,"Brown,Maxine A",Yes,1,59.3
"Oil, Gas, Coal",53592.0,345668.4,2020-11-07,Product_2,100 - 500 Million,Category 1,India,Mangalore,shakti kumari,SVP/General Counsel,Secondary school teacher,Website,Level 2,More than 2 weeks,"Ryker,David",Yes,4,63.900000000000006
Education/Training,453200.0,2855160.0,2020-11-08,Product_2,500 Million - 1 Billion,Category 3,India,Dibrugarh,megha,CEO,Customer service manager,Marketing Event,Level 2,?,"Ali,Mohamed",Yes,3,64.0
Real Estate,229834.0,1470937.6,2020-11-08,Product_2,100 - 500 Million,Category 4,USA,"Santa Cruz-Watsonville, CA",Anna Bradley,SVP/General Counsel,"Lighting technician, broadcasting/film/video",Contact Email,Level 1,Up-to-date,"Davis,Sharrice A",No,4,64.1
